order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD425594,ID0250774450,2019-07-07,Bakers,"[('Thunder line', 2), ('iAssist Line', 2)]",8810,83.53,-37.8166864,145.0134205,10,8012.53,Winter,True,1.7644,really a great phone for teens bought this for grandson and he loves it. it does everything he wants it to do. intend on buying 2 more.,True
ORD175152,ID2941596446,2019-05-28,Nickolson,"[('Alcon 10', 2), ('Lucent 330S', 1), ('Universe Note', 2)]",26030,77.93,-37.8198075,144.974575,5,24806.43,Autumn,True,0.4619,"great phone!! when i got the phone i had a hard time getting verizon to activate. finally, after 10 days, i was able to get my phone working. the phone is great, looks brand new, and a lot cheaper than a brand new one. you won't be disappointed at all with this phone!",True
ORD272890,ID0746909624,2019-10-08,Bakers,"[('Alcon 10', 1), ('pearTV', 1)]",15260,113.66,-37.8227542,145.0140718,5,14610.66,Spring,True,2.1821,all good great phone still rocking it till this day 😋😁,True
ORD289349,ID6021320904,2019-01-15,Thompson,"[('Lucent 330S', 1), ('Universe Note', 2), ('Olivia x460', 2)]",10580,95.22,-37.8168402,144.9355778,0,10675.22,Summer,True,1.1119,"still haven’t learn all the thunder can do, but so far, quite pleased!",True
ORD080831,ID1449266750,2019-11-01,Bakers,"[('Olivia x460', 2), ('Universe Note', 1), ('iStream', 1), ('Lucent 330S', 2)]",8510,103.51,-37.81663560000001,144.9872824,5,8188.01,Spring,True,1.0173,best ever really good phone,True
ORD471307,ID6197211195,2019-01-13,Thompson,"[('Lucent 330S', 2), ('Thunder line', 2), ('iStream', 2)]",7120,83.35,-37.8147958,144.92705790000005,15,6135.35,Summer,False,1.7756,"solid phone for under 400 bucks great phone, unfortunately my wife dropped it without a case so it shattered. bloatfree android is a great experience and the phone is a nice size.",True
ORD440742,ID2473002363,2019-04-08,Bakers,"[('Olivia x460', 2), ('iStream', 2)]",2750,66.3,-37.8042179,145.00257209999995,5,2678.8,Autumn,False,0.9113,"unsure i loved the phone but it started malfunctioning in late january early february. it keeps freezing up on me and the battery dies way too fast. thing is, i'm in the caribbean now and can't return or replace it.",True
ORD402598,ID6167440952,2019-07-16,Nickolson,"[('Universe Note', 1), ('Olivia x460', 2)]",5900,62.45,-37.8161821,144.963919,25,4487.45,Winter,False,0.5634,"note 5 is awesome! great phone. strong battery. the vr applications work flawlessly. phone is perfect size, no slippery sides like my old lg. olivia is the best. oh yeah... the stylus is excellent! very reactive and precise touch. like a pen and paper.",True
ORD379837,ID0260906756,2019-11-19,Bakers,"[('Thunder line', 1), ('Candle Inferno', 2)]",3040,112.98,-37.8271646,145.0115154,25,2392.98,Spring,True,2.3881,nice phone for the price. i love the phone. but the only problem is the sound is not clear. sometimes it fades in and out or the person on the other end sounds love me they are under water.otherwise the phone is very nice. i'm satisfied.,True
ORD383730,ID0319157174,2019-02-23,Nickolson,"[('iStream', 2), ('Lucent 330S', 2), ('Thunder line', 2)]",7120,78.42,-37.807010999999996,144.9666602,5,6842.42,Summer,False,1.3143,mi a3 good product as described.,True
ORD477063,ID0560985149,2019-03-09,Thompson,"[('pearTV', 2), ('Universe Note', 1), ('Toshika 750', 1)]",20390,62.16,-37.8163977,144.9459686,0,20452.16,Autumn,True,0.4257,returned! didn't work. returned! didn't work.,False
ORD431556,ID0387152965,2019-10-09,Thompson,"[('Olivia x460', 2), ('Universe Note', 2), ('Alcon 10', 1), ('iAssist Line', 2)]",22750,82.33,-37.7990065,144.95024750000005,15,19419.83,Spring,False,1.5468,"you can have up to 3 different phone providers on the same phone. the product was really good for your buck. all the featers you get on this phone, i have no personal complain. everything is really responsive, and the amount of memory is also not bad.",True
ORD364497,ID0711783633,2019-10-02,Thompson,"[('Thunder line', 1), ('Alcon 10', 1), ('iStream', 2), ('Lucent 330S', 1)]",12660,74.41,-37.81644470000001,144.9458051,25,9569.41,Spring,False,0.4343,"four stars still very much in love with my xp 6. however, the charger has already developed a fault.",True
ORD402484,ID0331164381,2019-10-18,Nickolson,"[('Olivia x460', 2), ('Alcon 10', 2)]",20350,97.5,-37.799947100000004,144.9693825,25,15360.0,Spring,True,2.0759,great phone. be sure to buy it new not used i love the phone but the battery won't last 9-10 hours without charging it. i feel like i wasted money and should have bought it new,False
ORD218206,ID0561538887,2019-06-14,Bakers,"[('Toshika 750', 2), ('Thunder line', 2), ('Olivia x460', 1), ('iStream', 2)]",14525,53.12,-37.799551799999996,145.0036237,15,12399.37,Winter,False,1.3771,cheaper model received. ad says universe j3 and i have received diferent cheaper model. dont buy this.,False
