order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD139495,ID0702373595,2019-02-05,Thompson,"[('Toshika 750', 1), ('Thunder line', 1), ('Alcon 10', 2), ('iStream', 1)]",24550.0,71.84,-37.806754299999994,144.94142309999995,5,23394.34,Summer,False,0.825,"it’s what i expected appearance good ; operation good; battery life 96% ; lenovo charger ; energizer cable ; unknown gift box. for me, satisfaction!",1.0
ORD299542,ID0577520970,2019-09-21,Nickolson,"[('Lucent 330S', 2), ('Thunder line', 2), ('pearTV', 2)]",19440.0,59.69,-37.8196565,144.9754744,0,19499.69,Spring,False,0.5341,bad refurbished the screen was too dark even with brightness at 100% the screen didnt look the way is supposed to,0.0
ORD366077,ID0245537608,2019-01-16,Nickolson,"[('Universe Note', 2), ('Olivia x460', 2), ('Thunder line', 1), ('Toshika 750', 2)]",20170.0,59.99,-37.8110937,144.9661285,10,18212.99,Summer,False,0.8876,defective camera defective camara,0.0
ORD194301,ID0282825783,2019-06-15,Thompson,"[('Candle Inferno', 2), ('Alcon 10', 1), ('Lucent 330S', 2)]",12270.0,66.28,-37.8025563,144.95074219999995,5,11722.78,Winter,False,1.1716,graphics are great for the price. would highly recommend.,1.0
ORD011507,ID1445498783,2019-01-15,Nickolson,"[('Alcon 10', 1), ('Universe Note', 2)]",15850.0,96.3,-37.8169429,144.98343469999998,15,13568.8,Summer,True,1.2347,five stars great phone.,1.0
ORD261528,ID6167191167,2019-11-11,Nickolson,"[('Olivia x460', 1), ('Toshika 750', 1), ('iAssist Line', 1), ('iStream', 1)]",7920.0,59.83,-37.816132,144.9639582,5,7583.83,Spring,False,0.5631,"phone's camera does not work, battery drains rapidly, apps shut down or won't work at all returning as the phone is defective",0.0
ORD091701,ID0591341189,2019-08-27,Nickolson,"[('Alcon 10', 2), ('Universe Note', 1)]",21350.0,78.47,-37.821203999999994,144.9581619,10,19293.47,Winter,True,1.0428,"refurbished but appears brand-new. received quickly. functions perfectly. as noted, it looks brand-new.",1.0
ORD288985,ID6167357844,2019-08-28,Nickolson,"[('Thunder line', 2), ('Toshika 750', 1)]",8680.0,78.45,-37.8074428,144.9713623,5,8324.45,Winter,True,1.2516,"used to have fun with. great to play music, turn on lights and who know what else.",1.0
ORD118747,ID0591399036,2019-07-14,Nickolson,"[('Universe Note', 2), ('iAssist Line', 1), ('Lucent 330S', 1), ('Toshika 750', 2)]",18995.0,62.78,-37.822337899999994,144.96099719999995,5,18108.03,Winter,True,0.8599,it died on the 4/20/2015 i like the phone but don't like that i payed money ... it died on the 4/20/2015 i like the phone but don't like that i payed money and the cell dies this soon i have never dropped it our anything that would make it die.,0.0
ORD115933,ID0741702108,2019-03-22,Nickolson,"[('iAssist Line', 2), ('Lucent 330S', 2), ('Thunder line', 2)]",11270.0,50.3,-37.8156652,144.9740386,25,8502.8,Autumn,False,0.512,"it does not speak in spanish,,,i bought it for my grandmother to have someone to talk to when i’m not around,,,,,no spanish!",0.0
ORD420642,ID6143901733,2019-06-29,Bakers,"[('Toshika 750', 1), ('iAssist Line', 1), ('Alcon 10', 1)]",15495.0,78.93,-37.802808399999996,145.0041919,0,15573.93,Winter,True,1.123,breakdown of price is necessary the device doesn’t support lte plus poor housing box it arrived in. other things works fine. breakdown of the price is necessary for what i received 🤕,1.0
ORD274189,ID0635681778,2019-11-07,Thompson,"[('iAssist Line', 2), ('pearTV', 2), ('Universe Note', 2)]",23970.0,87.36,-37.8130783,144.955614,0,24057.36,Spring,True,0.7528,"locked phone :( locked phone not new did not find out until i got home to my husband now, passed return date. he did not not know :(",0.0
ORD211630,ID6167344514,2019-04-03,Nickolson,"[('Candle Inferno', 1), ('Alcon 10', 2)]",18330.0,66.28,-37.809808600000004,144.96688989999996,15,15646.78,Autumn,False,1.0057,great man words can't even explain how smooth every thing went,1.0
ORD242180,ID0055723357,2019-02-18,Thompson,"[('iAssist Line', 2), ('iStream', 2), ('Lucent 330S', 2)]",7210.0,96.05,-37.8086785,144.95785869999997,0,7306.05,Summer,True,1.0479,works great for a simple tablet. not a huge fan of the silk browser but it could be worse! i am very happy with my purchase!,1.0
ORD175803,ID0579500978,2019-04-22,Thompson,"[('Toshika 750', 1), ('Alcon 10', 1), ('Candle Inferno', 1), ('Universe Note', 1)]",17150.0,63.46,-37.8140197,144.9491925,10,15498.46,Autumn,False,0.2395,three stars its a nice phone but it had a crack in it when i got it!,1.0
ORD410058,ID1492145775,2019-05-13,Thompson,"[('Thunder line', 1), ('iStream', 2), ('iAssist Line', 2), ('Lucent 330S', 1)]",8160.0,77.77,-37.8133498,144.95150769999995,0,8237.77,Autumn,True,0.3976,alcon 6s i didn’t like the fact that the phone didn’t come with earphones.,1.0
ORD186143,ID0579478220,2019-11-12,Thompson,"[('Toshika 750', 1), ('iStream', 2)]",4620.0,103.27,-37.8203862,144.9534083,15,4030.27,Spring,True,1.0237,good phone for good price my father is the one using the phone. he loves it. it is light and fast enough for a really good price.,1.0
ORD494262,ID0638050574,2019-06-22,Nickolson,"[('iStream', 1), ('Universe Note', 2), ('Olivia x460', 1), ('Candle Inferno', 1)]",8705.0,72.56,-37.8183904,144.9662769,0,8777.56,Winter,True,0.2888,"sturdy, good phone husband loves his flip phone. this one is sturdier than most, and is easy to use. it arrived in perfect condition and works fine. fast delivery.",1.0
ORD337458,ID0711784381,2019-06-24,Thompson,"[('iStream', 2), ('Lucent 330S', 2), ('Thunder line', 1)]",4940.0,60.86,-37.81731420000001,144.9462462,5,4753.86,Winter,True,0.5217,one star google is novice in smartphone.,0.0
ORD485920,ID2588548693,2019-10-26,Nickolson,"[('Toshika 750', 2), ('Olivia x460', 2), ('Thunder line', 2)]",15450.0,101.55,-37.825537,144.97645980000001,5,14779.05,Spring,True,0.983,easy to use and portable. took on vacation and it was great to kkep up on emails and news.,1.0
