order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD336315,ID0781118652,2019-12-10,Bakers,"[('Alcon 10', 1), ('Lucent 330S', 1), ('Olivia x460', 2)]",12630,70.77,-37.8054952,144.9978162,10,11437.77,Summer,False,0.5502,gift for my man. he doesn’t like that you have to plug it in and the pictures do not show the cord. would prefer it cordless. still works though for the purpose we bought it.,True
ORD134296,ID0746912863,2019-01-04,Nickolson,"[('Olivia x460', 1), ('Alcon 10', 1)]",10175,81.24,-37.8248747,144.9848906,10,9238.74,Summer,False,1.5192,five stars very good mobile. i'm using it in argentina. its functioning very well with 4g lte.,True
ORD044785,ID4315827368,2019-12-07,Bakers,"[('Olivia x460', 1), ('Candle Inferno', 2), ('pearTV', 2), ('iAssist Line', 2)]",19155,54.97,-37.8132344,145.0001751,0,19209.97,Summer,False,0.5647,"does not work for verizon went to the verizon store to activate this phone, and the rep said that it would not come up in their system. this phone also game in a driod max box so i am still worried that it is not a new phone.",False
ORD287001,ID0136511965,2019-01-01,Nickolson,"[('pearTV', 1), ('iAssist Line', 1)]",8535,94.08,-37.8181997,144.96106609999995,0,8629.08,Summer,True,0.7474,that you can code it different ways. i havent quite masterd a few of the features. but i love my new cell olivia has alwayz been the only brand i would buy.,True
ORD387196,ID0711331605,2019-01-20,Thompson,"[('iStream', 1), ('iAssist Line', 2)]",4600,95.15,-37.8072427,144.9582705,5,4465.15,Summer,True,1.1558,needs to be smarter,True
ORD279338,ID0305913661,2019-12-06,Bakers,"[('Lucent 330S', 1), ('Thunder line', 1), ('iStream', 1), ('Universe Note', 2)]",10460,96.04,-37.8004966,144.9998066,5,10033.04,Summer,True,1.1314,works perfect at colombia works perfect at colombia with movistar,True
ORD237167,ID6167191704,2019-01-21,Thompson,"[('iAssist Line', 1), ('Olivia x460', 1), ('Universe Note', 2), ('Toshika 750', 1)]",14670,74.91,-37.8187764,144.9553333,15,12544.41,Summer,False,0.9949,"good phone for the price i like the phone, the battery life is awesome, sometimes the fingerprint reader is slow but works correctly, the phone it's fast and the camera take great pictures",True
ORD317455,ID0595594362,2019-12-01,Nickolson,"[('iStream', 1), ('Lucent 330S', 1), ('Candle Inferno', 2), ('Thunder line', 1)]",4420,95.75,-37.8128823,144.9603524,0,4515.75,Summer,True,1.0290000000000001,no verizon voicemail app good phone at a good price. however i did not find out until it was too late to return it that verizon won't allow its voice mail app to be put onto unlocked phones.,True
ORD338742,ID3215106483,2019-12-27,Thompson,"[('iAssist Line', 2), ('Candle Inferno', 1), ('Thunder line', 2)]",9240,70.26,-37.809058799999995,144.94998130000005,15,7924.26,Summer,False,0.47700000000000004,easy to set up. still trying to get it to connect to a light bulb smart plug. grandkids think alex is cool!,True
ORD088173,ID4633550178,2019-12-12,Thompson,"[('Toshika 750', 1), ('iAssist Line', 1)]",6545,56.99,-37.8064905,144.9466055,5,6274.74,Summer,False,0.6894,battery for some reason the battery doesn't last. even when i'm not using the phone. i'll leave it in my locker at 60% 2 hours later it'll be at 4%.,False
ORD455338,ID1889073821,2019-01-11,Bakers,"[('Alcon 10', 2), ('Universe Note', 2), ('Thunder line', 1)]",26980,76.12,-37.80892,144.98255,15,23009.12,Summer,False,1.1218,"goggle pixel , thumbs up! so far so good. i have only had it for a week. i am happy that it was easy to operate and set up. the pictures i have taken so far have excellent quality. glad i didn't pay close to a thousand dollars for the newer model. this work's just fine.",True
ORD236855,ID6167266626,2019-12-30,Nickolson,"[('Toshika 750', 1), ('Thunder line', 1), ('Lucent 330S', 1)]",7730,75.42,-37.80959470000001,144.96367759999995,25,5872.92,Summer,False,1.1272,"big screen, big storage, great lte coverage, low price!! great service using tmobile bands 2,4,12,71! plenty of storage and great display!",True
ORD070428,ID4740822043,2019-02-10,Thompson,"[('iStream', 1), ('Thunder line', 2)]",4510,62.31,-37.803268700000004,144.95010390000004,0,4572.31,Summer,False,1.0804,porq me gusto pero la camara no sirve,False
ORD378356,ID4418535313,2019-01-13,Thompson,"[('pearTV', 2), ('Thunder line', 1), ('Olivia x460', 1)]",16025,105.03,-37.80244920000001,144.96344530000005,10,14527.53,Summer,True,1.8357,good phone.. i switched from pixel to this and there isn't any difference in user experience except that sound quality is much better here.. rest is all same..,True
ORD082737,ID6167191701,2019-01-03,Thompson,"[('pearTV', 1), ('Thunder line', 1)]",8490,72.45,-37.8189749,144.9549254,0,8562.45,Summer,False,0.9846,"fast delivery, excellent phone. battery life is all day the way i use it, with superb screen quality. it is also very responsive. excellent phone.",True
ORD033900,ID0576830453,2019-01-19,Bakers,"[('iAssist Line', 1), ('Lucent 330S', 2), ('Thunder line', 1), ('iStream', 1)]",7015,97.85,-37.819390500000004,144.98516909999995,5,6762.1,Summer,True,1.3699,loved the gift! bought it for a friend and he loved it! definitely worth the price.,True
ORD196744,ID1462399132,2019-01-20,Bakers,"[('Candle Inferno', 1), ('Lucent 330S', 1), ('Alcon 10', 1), ('Thunder line', 2)]",14970,102.61,-37.8198734,145.01166809999995,10,13575.61,Summer,True,1.8161,better than i expected. parental control is an awesome feature.,True
ORD482451,ID0591435609,2019-02-01,Nickolson,"[('Thunder line', 1), ('Toshika 750', 2), ('Lucent 330S', 2), ('Candle Inferno', 2)]",14140,65.49,-37.8188066,144.9703017,10,12791.49,Summer,False,0.0701,absolutely love!!,True
ORD147772,ID0309346989,2019-12-26,Bakers,"[('Candle Inferno', 1), ('Thunder line', 2), ('pearTV', 1)]",11100,76.72,-37.8149275,144.99983569999995,0,11176.72,Summer,True,0.6821,not good for tmobile couldn't get it to work with tmobile,False
ORD463018,ID4716795533,2019-12-15,Thompson,"[('Candle Inferno', 1), ('iAssist Line', 2), ('Alcon 10', 1), ('pearTV', 2)]",26450,94.49,-37.8187986,144.95336830000005,25,19931.99,Summer,True,0.8785,"worth the money and works perfectly the phone came in good condition nun to complain abt there, battery life little less than expected but still gud since i call, play music and play games but still last for hours",True
ORD217932,ID5002595121,2019-12-30,Thompson,"[('Candle Inferno', 2), ('Toshika 750', 1), ('Alcon 10', 2)]",23080,91.38,-37.8120027,144.953523,10,20863.38,Summer,True,0.5725,very satisfied better than what i expected works perfect.,True
ORD107900,ID3738993370,2019-01-23,Bakers,"[('Toshika 750', 1), ('Lucent 330S', 2), ('iAssist Line', 1)]",9005,83.18,-37.8227201,145.0078107,15,7737.43,Summer,False,1.7972,"four stars the phone's shape is nice in the hands, and the white color is nice.",True
ORD143607,ID4740822052,2019-02-14,Thompson,"[('Universe Note', 1), ('Candle Inferno', 2), ('Alcon 10', 2), ('pearTV', 2)]",34830,75.79,-37.8037592,144.94977219999996,25,26198.29,Summer,False,1.0204,"great product! highly recommend getting the stand that goes under it, it sits much better on the desk.",True
ORD461477,ID0547587098,2019-01-31,Bakers,"[('Olivia x460', 2), ('Candle Inferno', 1), ('iAssist Line', 2), ('Universe Note', 1)]",10780,91.99,-37.814217799999994,144.9901061,10,9793.99,Summer,True,0.6512,great deal phone arrived in perfect condition. great deal!,True
ORD326823,ID6167229079,2019-12-04,Thompson,"[('Olivia x460', 1), ('Candle Inferno', 1)]",1655,96.9,-37.821101299999995,144.95527090000004,25,1338.15,Summer,True,1.1834,"es hermoso increible me. encanta. su tamaño perfecto, dura la bateria mucho!!",True
ORD241185,ID2279005521,2019-01-30,Thompson,"[('Thunder line', 1), ('Alcon 10', 2), ('pearTV', 2), ('Universe Note', 1)]",36150,91.96,-37.8170306,144.9534284,15,30819.46,Summer,True,0.7403,"i like the way you can watch anything and everything , for some live shows you need a cable provider",True
ORD464393,ID0844460328,2019-12-18,Thompson,"[('Thunder line', 1), ('pearTV', 2), ('Toshika 750', 2)]",23440,91.04,-37.8196958,144.94689730000005,0,23531.04,Summer,True,0.7819,(sellers buyspry ) 3 star comes with bad chargers phone work good but you need spend 20$ more in a good fast charger 🧐🤦‍♂️😠,True
ORD394759,ID1459448705,2019-02-14,Bakers,"[('iStream', 1), ('iAssist Line', 2)]",4600,79.88,-37.81962539999999,145.0082226,5,4449.88,Summer,False,1.5665,phone cam in excellent condition - if it had a screen replacement done ... phone cam in excellent condition - if it had a screen replacement done during the refurbished it was done to oem standards. looks and functions like a brand new phone.,True
ORD217713,ID3208518262,2019-02-22,Nickolson,"[('Toshika 750', 1), ('Thunder line', 1), ('iAssist Line', 2), ('Alcon 10', 1)]",19900,106.29,-37.8007247,144.972465,15,17021.29,Summer,True,2.0057,great product great product works perfect have no problems so far,True
ORD001729,ID0589424371,2019-02-13,Nickolson,"[('Olivia x460', 2), ('Candle Inferno', 1)]",2880,73.78,-37.809557299999994,144.972643,0,2953.78,Summer,False,1.0421,nice size tablet. very easy to use. love it!!!!! beats my laptop.,True
ORD456802,ID0356077862,2019-12-29,Bakers,"[('Olivia x460', 1), ('iAssist Line', 2)]",5675,54.06,-37.8086578,144.9933375,10,5161.56,Summer,False,0.2235,ا it's a bad problem in a camera,False
ORD152567,ID2189377528,2019-12-13,Nickolson,"[('Toshika 750', 2), ('iAssist Line', 2)]",13090,79.7,-37.808265899999995,144.9767069,0,13169.7,Summer,False,1.3108,"dana, ky arrived quickly after i ordered it and i love it:)",True
ORD025481,ID0207093493,2019-12-30,Bakers,"[('Universe Note', 1), ('Olivia x460', 1), ('Candle Inferno', 1), ('Lucent 330S', 1)]",6335,94.43,-37.8052463,145.0043931,0,6429.43,Summer,True,0.9637,the phone is great. it us awesome.,True
